Datetime,Predicted,Prob_COIL_LEAKAGE,Prob_OA_BIAS_NEGATIVE,Prob_OA_BIAS_POSITIVE,Prob_OA_DMPR_STUCK,Prob_SA_BIAS_NEGATIVE,Prob_SA_BIAS_POSITIVE,Prob_Unfaulted
2018-11-16 12:24:00,SA_BIAS_POSITIVE,0.0003428824,0.0011728825,0.0012846412,6.520086e-07,2.8829324e-06,0.9971961,3.6103782e-09
2018-11-16 12:25:00,SA_BIAS_POSITIVE,0.00034289097,0.0011728727,0.0012846236,6.520367e-07,2.8830482e-06,0.9971962,3.610296e-09
2018-11-16 12:26:00,SA_BIAS_POSITIVE,0.0003428998,0.0011728598,0.0012846009,6.5206586e-07,2.8831691e-06,0.9971962,3.6101926e-09
2018-11-16 12:27:00,SA_BIAS_POSITIVE,0.0003429086,0.0011728525,0.0012845868,6.5209576e-07,2.88329e-06,0.9971962,3.6101169e-09
2018-11-16 12:28:00,SA_BIAS_POSITIVE,0.0003429171,0.0011728469,0.001284574,6.521262e-07,2.8834168e-06,0.9971962,3.6100618e-09
2018-11-16 12:29:00,SA_BIAS_POSITIVE,0.00034292595,0.0011728441,0.0012845648,6.521573e-07,2.8835432e-06,0.9971962,3.610007e-09
2018-11-16 12:30:00,SA_BIAS_POSITIVE,0.0003429343,0.0011728429,0.0012845587,6.521884e-07,2.8836698e-06,0.9971962,3.6099654e-09
2018-11-16 12:31:00,SA_BIAS_POSITIVE,0.00034294344,0.0011728457,0.0012845574,6.522214e-07,2.8838017e-06,0.9971962,3.6099448e-09
2018-11-16 12:32:00,SA_BIAS_POSITIVE,0.00034295194,0.0011728486,0.0012845574,6.522525e-07,2.8839283e-06,0.9971962,3.609931e-09
2018-11-16 12:33:00,SA_BIAS_POSITIVE,0.0003429603,0.0011728525,0.0012845587,6.5228363e-07,2.884052e-06,0.9971962,3.6099241e-09
2018-11-16 12:34:00,SA_BIAS_POSITIVE,0.00034297173,0.0011728548,0.0012845525,6.52329e-07,2.884231e-06,0.9971962,3.609876e-09
2018-11-16 12:35:00,SA_BIAS_POSITIVE,0.00034298172,0.0011728525,0.0012845439,6.5236446e-07,2.8843792e-06,0.9971962,3.6098209e-09
2018-11-16 12:36:00,SA_BIAS_POSITIVE,0.0003429917,0.0011728491,0.0012845348,6.524018e-07,2.8845222e-06,0.9971962,3.6097727e-09
2018-11-16 12:37:00,SA_BIAS_POSITIVE,0.00034300183,0.0011728447,0.0012845238,6.5243665e-07,2.8846653e-06,0.9971962,3.6097036e-09
2018-11-16 12:38:00,SA_BIAS_POSITIVE,0.0003430118,0.0011728379,0.0012845121,6.524702e-07,2.884803e-06,0.9971962,3.6096488e-09
2018-11-16 12:39:00,SA_BIAS_POSITIVE,0.00034302144,0.0011728307,0.0012845005,6.5250197e-07,2.8849295e-06,0.9971962,3.60958e-09
2018-11-16 12:40:00,SA_BIAS_POSITIVE,0.0003430311,0.0011728235,0.0012844888,6.525337e-07,2.8850561e-06,0.9971962,3.609525e-09
2018-11-16 12:41:00,SA_BIAS_POSITIVE,0.0003430411,0.0011728167,0.0012844796,6.525636e-07,2.885177e-06,0.9971962,3.6094696e-09
2018-11-16 12:42:00,SA_BIAS_POSITIVE,0.00034305057,0.0011728083,0.0012844686,6.525922e-07,2.8852928e-06,0.9971962,3.6094145e-09
2018-11-16 12:43:00,SA_BIAS_POSITIVE,0.00034306003,0.0011727994,0.0012844588,6.526202e-07,2.8854026e-06,0.9971962,3.6093666e-09
2018-11-16 12:44:00,SA_BIAS_POSITIVE,0.00034306938,0.0011727905,0.0012844497,6.52647e-07,2.8855075e-06,0.9971962,3.6093182e-09
2018-11-16 12:45:00,SA_BIAS_POSITIVE,0.00034307872,0.0011727815,0.0012844411,6.526718e-07,2.8856066e-06,0.9971962,3.609277e-09
2018-11-16 12:46:00,SA_BIAS_POSITIVE,0.0003430879,0.0011727709,0.0012844331,6.526949e-07,2.8857e-06,0.9971962,3.6092356e-09
2018-11-16 12:47:00,SA_BIAS_POSITIVE,0.00034309705,0.0011727609,0.0012844254,6.527186e-07,2.8857885e-06,0.9971963,3.609195e-09
2018-11-16 12:48:00,SA_BIAS_POSITIVE,0.0003431059,0.001172748,0.0012844162,6.527379e-07,2.8858653e-06,0.9971963,3.6091534e-09
2018-11-16 12:49:00,SA_BIAS_POSITIVE,0.00034311457,0.0011727335,0.0012844063,6.5275475e-07,2.8859315e-06,0.9971963,3.6091121e-09
2018-11-16 12:50:00,SA_BIAS_POSITIVE,0.00034312293,0.0011727178,0.0012843965,6.527703e-07,2.8859922e-06,0.9971963,3.6090708e-09
2018-11-16 12:51:00,SA_BIAS_POSITIVE,0.00034313143,0.0011726978,0.0012843831,6.527821e-07,2.886036e-06,0.9971963,3.6090226e-09
2018-11-16 12:52:00,SA_BIAS_POSITIVE,0.00034313928,0.001172676,0.0012843683,6.5279147e-07,2.8860693e-06,0.9971963,3.608961e-09
2018-11-16 12:53:00,SA_BIAS_POSITIVE,0.0003431463,0.0011726475,0.0012843481,6.527952e-07,2.88608e-06,0.9971963,3.608892e-09
