Datetime,Predicted,Prob_COIL_LEAKAGE,Prob_OA_BIAS_NEGATIVE,Prob_OA_BIAS_POSITIVE,Prob_OA_DMPR_STUCK,Prob_SA_BIAS_NEGATIVE,Prob_SA_BIAS_POSITIVE,Prob_Unfaulted
2018-01-30 00:08:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:10:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:14:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:15:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:25:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:29:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:40:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:46:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:47:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:49:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:54:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 00:57:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:12:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:14:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:27:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:35:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:37:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:45:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 01:57:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:08:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:09:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:14:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:15:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:30:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:34:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:44:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 02:54:00,Unfaulted,0.0,0.0010460251046025104,0.0,0.0,0.005840306834030684,0.0,0.9931136680613669
2018-01-30 03:00:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:04:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:05:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:12:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:16:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:19:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:20:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:27:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:31:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:39:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:51:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:52:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:58:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 03:59:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30 04:10:00,Unfaulted,0.0,0.0,0.0,0.0,0.0,0.0,1.0
